time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.66547e-06	641.272
1	9.66547e-06	2.09717e-05	641.272
2	2.09717e-05	3.41971e-05	2779.58
3	3.41971e-05	4.96675e-05	2006.26
4	4.96675e-05	6.7764e-05	2177.89
5	6.7764e-05	8.89324e-05	1820.52
6	8.89324e-05	0.000113694	1645.64
7	0.000113694	0.000142659	1743.02
8	0.000142659	0.000176541	1949.52
9	0.000176541	0.000216174	2158.22
10	0.000216174	0.000262535	2292.45
11	0.000262535	0.000316766	2283.19
12	0.000316766	0.000380203	2120.34
13	0.000380203	0.000454408	1874.23
14	0.000454408	0.000541209	1644.41
15	0.000541209	0.000642744	1482.46
16	0.000642744	0.000761516	1375.03
17	0.000761516	0.000900448	1287.91
18	0.000900448	0.00106296	1197.59
19	0.00106296	0.00125307	1097.67
20	0.00125307	0.00147544	996.427
21	0.00147544	0.00173556	902.806
22	0.00173556	0.00203984	816.961
23	0.00203984	0.00239577	740.042
24	0.00239577	0.00281212	685.733
25	0.00281212	0.00329914	672.552
26	0.00329914	0.00386883	709.676
27	0.00386883	0.00453523	844.619
28	0.00453523	0.00531475	844.619
29	0.00531475	0.0062266	377.872
30	0.0062266	0.00729323	377.872
31	0.00729323	inf	377.872
