time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.7576e-06	645.835
1	8.7576e-06	1.8865e-05	645.835
2	1.8865e-05	3.05304e-05	2462.4
3	3.05304e-05	4.39938e-05	2462.4
4	4.39938e-05	5.95324e-05	1876.67
5	5.95324e-05	7.7466e-05	1949.33
6	7.7466e-05	9.81637e-05	1774.75
7	9.81637e-05	0.000122052	1741.54
8	0.000122052	0.000149622	1834.1
9	0.000149622	0.000181441	1979.16
10	0.000181441	0.000218165	2133.81
11	0.000218165	0.00026055	2244.69
12	0.00026055	0.000309467	2254.05
13	0.000309467	0.000365924	2142.76
14	0.000365924	0.000431083	1948.6
15	0.000431083	0.000506286	1741.45
16	0.000506286	0.00059308	1572.09
17	0.00059308	0.000693252	1446.1
18	0.000693252	0.000808863	1345.03
19	0.000808863	0.000942295	1254.45
20	0.000942295	0.00109629	1168.5
21	0.00109629	0.00127403	1084.7
22	0.00127403	0.00147916	1002.96
23	0.00147916	0.0017159	923.861
24	0.0017159	0.00198914	845.471
25	0.00198914	0.00230449	767.824
26	0.00230449	0.00266845	700.148
27	0.00266845	0.00308851	655.271
28	0.00308851	0.00357332	638.182
29	0.00357332	0.00413285	658.472
30	0.00413285	0.00477862	658.472
31	0.00477862	0.00552393	658.472
32	0.00552393	0.00638411	827.14
33	0.00638411	0.00737688	827.14
34	0.00737688	inf	827.14
