time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.70172e-06	757.458
1	9.70172e-06	2.10503e-05	757.458
2	2.10503e-05	3.43253e-05	2963.62
3	3.43253e-05	4.98538e-05	1801.35
4	4.98538e-05	6.80182e-05	2159.29
5	6.80182e-05	8.9266e-05	1832.9
6	8.9266e-05	0.000114121	1664.85
7	0.000114121	0.000143194	1775.98
8	0.000143194	0.000177203	1985.78
9	0.000177203	0.000216985	2178.77
10	0.000216985	0.00026352	2282.64
11	0.00026352	0.000317954	2243.96
12	0.000317954	0.000381629	2066.8
13	0.000381629	0.000456112	1822.01
14	0.000456112	0.000543239	1605.64
15	0.000543239	0.000645155	1464.19
16	0.000645155	0.000764372	1378.76
17	0.000764372	0.000903826	1313.93
18	0.000903826	0.00106695	1247.42
19	0.00106695	0.00125777	1164.15
20	0.00125777	0.00148098	1052.5
21	0.00148098	0.00174207	905.491
22	0.00174207	0.00204749	728.926
23	0.00204749	0.00240476	557.338
24	0.00240476	0.00282266	437.713
25	0.00282266	0.00331151	398.741
26	0.00331151	0.00388334	471.965
27	0.00388334	0.00455224	2684.91
28	0.00455224	0.00533469	2684.91
29	0.00533469	0.00624995	1.74969
30	0.00624995	0.00732058	1.74969
31	0.00732058	inf	1.74969
