time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.48307e-06	769.053
1	8.48307e-06	1.84061e-05	769.053
2	1.84061e-05	3.00137e-05	3200.69
3	3.00137e-05	4.35915e-05	2065.09
4	4.35915e-05	5.94743e-05	3711.08
5	5.94743e-05	7.80531e-05	3465.23
6	7.80531e-05	9.97857e-05	2239.78
7	9.97857e-05	0.000125207	1681.09
8	0.000125207	0.000154944	1617.53
9	0.000154944	0.000189729	1791.85
10	0.000189729	0.000230419	2053.92
11	0.000230419	0.000278015	2301.28
12	0.000278015	0.000333692	2459.63
13	0.000333692	0.000398819	2480.48
14	0.000398819	0.000475001	2355.77
15	0.000475001	0.000564116	2119.06
16	0.000564116	0.000668358	1825.63
17	0.000668358	0.000790294	1534.6
18	0.000790294	0.00093293	1292.12
19	0.00093293	0.00109978	1119.2
20	0.00109978	0.00129495	1008.36
21	0.00129495	0.00152325	931.311
22	0.00152325	0.0017903	852.197
23	0.0017903	0.00210269	753.069
24	0.00210269	0.0024681	653.445
25	0.0024681	0.00289555	595.613
26	0.00289555	0.00339555	614.045
27	0.00339555	0.00398043	839.947
28	0.00398043	0.00466459	839.947
29	0.00466459	0.00546488	354.249
30	0.00546488	0.00640103	354.249
31	0.00640103	inf	354.249
