time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.79558e-06	704.774
1	7.79558e-06	1.67927e-05	704.774
2	1.67927e-05	2.71766e-05	2690.5
3	2.71766e-05	3.91611e-05	2690.5
4	3.91611e-05	5.29927e-05	2855.94
5	5.29927e-05	6.89563e-05	3774.29
6	6.89563e-05	8.73805e-05	2991.43
7	8.73805e-05	0.000108644	2038.71
8	0.000108644	0.000133186	1636.15
9	0.000133186	0.00016151	1609.95
10	0.00016151	0.0001942	1787.7
11	0.0001942	0.000231928	2042.3
12	0.000231928	0.000275472	2267.98
13	0.000275472	0.000325728	2398.85
14	0.000325728	0.000383729	2418.64
15	0.000383729	0.000450671	2337.8
16	0.000450671	0.00052793	2171.28
17	0.00052793	0.000617098	1938.07
18	0.000617098	0.00072001	1671.32
19	0.00072001	0.000838784	1417.11
20	0.000838784	0.000975865	1215.22
21	0.000975865	0.00113408	1078.33
22	0.00113408	0.00131667	993
23	0.00131667	0.00152741	932.648
24	0.00152741	0.00177063	868.869
25	0.00177063	0.00205135	784.515
26	0.00205135	0.00237532	685.714
27	0.00237532	0.00274924	600.251
28	0.00274924	0.00318079	555.364
29	0.00318079	0.00367885	598.518
30	0.00367885	0.00425369	598.518
31	0.00425369	0.00491713	598.518
32	0.00491713	0.00568282	488.926
33	0.00568282	0.00656654	488.926
34	0.00656654	inf	488.926
