time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.55523e-06	879.535
1	8.55523e-06	1.85627e-05	879.535
2	1.85627e-05	3.0269e-05	3547.32
3	3.0269e-05	4.39624e-05	2037.99
4	4.39624e-05	5.99802e-05	3508.18
5	5.99802e-05	7.87171e-05	3470.95
6	7.87171e-05	0.000100635	2318.7
7	0.000100635	0.000126272	1695.28
8	0.000126272	0.000156262	1601.54
9	0.000156262	0.000191343	1785.61
10	0.000191343	0.000232379	2065.79
11	0.000232379	0.00028038	2308.76
12	0.00028038	0.00033653	2436.36
13	0.00033653	0.000402212	2415.63
14	0.000402212	0.000479042	2250.91
15	0.000479042	0.000568915	1989.26
16	0.000568915	0.000674043	1703.29
17	0.000674043	0.000797017	1459.7
18	0.000797017	0.000940866	1291.92
19	0.000940866	0.00110913	1191.58
20	0.00110913	0.00130596	1109.08
21	0.00130596	0.00153621	965.07
22	0.00153621	0.00180553	719.902
23	0.00180553	0.00212058	456.908
24	0.00212058	0.0024891	283.635
25	0.0024891	0.00292018	217.86
26	0.00292018	0.00342443	257.349
27	0.00342443	0.00401429	2535.11
28	0.00401429	0.00470427	2535.11
29	0.00470427	0.00551137	1.98416
30	0.00551137	0.00645548	1.98416
31	0.00645548	inf	1.98416
