time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.76824e-06	805.094
1	7.76824e-06	1.67338e-05	805.094
2	1.67338e-05	2.70813e-05	2825.48
3	2.70813e-05	3.90237e-05	2825.48
4	3.90237e-05	5.28069e-05	2751.07
5	5.28069e-05	6.87145e-05	3670.82
6	6.87145e-05	8.7074e-05	2956.48
7	8.7074e-05	0.000108263	2033.91
8	0.000108263	0.000132719	1638.16
9	0.000132719	0.000160944	1623.18
10	0.000160944	0.000193519	1811.24
11	0.000193519	0.000231115	2068.08
12	0.000231115	0.000274506	2292.19
13	0.000274506	0.000324585	2421.24
14	0.000324585	0.000382383	2428.15
15	0.000382383	0.00044909	2313.09
16	0.00044909	0.000526079	2104.92
17	0.000526079	0.000614934	1852.65
18	0.000614934	0.000717485	1609.03
19	0.000717485	0.000835842	1413.25
20	0.000835842	0.000972443	1278.2
21	0.000972443	0.0011301	1186.52
22	0.0011301	0.00131205	1092.02
23	0.00131205	0.00152205	935.489
24	0.00152205	0.00176442	701.696
25	0.00176442	0.00204415	462.238
26	0.00204415	0.00236699	297.796
27	0.00236699	0.0027396	224.354
28	0.0027396	0.00316963	235.854
29	0.00316963	0.00366595	1927.22
30	0.00366595	0.00423877	1927.22
31	0.00423877	0.00489988	1927.22
32	0.00489988	0.00566289	1.98416
33	0.00566289	0.00654351	1.98416
34	0.00654351	inf	1.98416
