time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.35342e-05	350.997
1	1.35342e-05	2.91545e-05	350.997
2	2.91545e-05	4.71824e-05	545.844
3	4.71824e-05	6.79891e-05	545.844
4	6.79891e-05	9.20028e-05	636.854
5	9.20028e-05	0.000119718	622.589
6	0.000119718	0.000151705	521.261
7	0.000151705	0.000188622	476.476
8	0.000188622	0.000231229	523.016
9	0.000231229	0.000280404	654.235
10	0.000280404	0.000337158	871.926
11	0.000337158	0.00040266	1178.43
12	0.00040266	0.000478258	1557.91
13	0.000478258	0.000565508	1931.91
14	0.000565508	0.000666207	2125.92
15	0.000666207	0.000782427	1976.35
16	0.000782427	0.00091656	1568.03
17	0.00091656	0.00107137	1167.27
18	0.00107137	0.00125004	917.536
19	0.00125004	0.00145625	806.039
20	0.00145625	0.00169424	777.777
21	0.00169424	0.00196891	781.847
22	0.00196891	0.00228592	775.473
23	0.00228592	0.0026518	740.372
24	0.0026518	0.00307407	695.495
25	0.00307407	0.00356142	671.535
26	0.00356142	0.0041239	682.236
27	0.0041239	0.00477306	717.976
28	0.00477306	0.00552229	756.29
29	0.00552229	0.006387	822.55
30	0.006387	0.007385	822.55
31	0.007385	0.00853682	822.55
32	0.00853682	0.00986617	1227.37
33	0.00986617	0.0114004	1227.37
34	0.0114004	inf	1227.37
