time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.49342e-05	426.493
1	1.49342e-05	3.24034e-05	426.493
2	3.24034e-05	5.28381e-05	538.281
3	5.28381e-05	7.67416e-05	470.504
4	7.67416e-05	0.000104703	678.84
5	0.000104703	0.00013741	589.826
6	0.00013741	0.00017567	467.444
7	0.00017567	0.000220424	489.888
8	0.000220424	0.000272775	619.465
9	0.000272775	0.000334012	850.442
10	0.000334012	0.000405645	1185.66
11	0.000405645	0.000489438	1598.41
12	0.000489438	0.000587454	1975.12
13	0.000587454	0.000702108	2093.61
14	0.000702108	0.000836225	1821.14
15	0.000836225	0.000993109	1365.32
16	0.000993109	0.00117662	1012.29
17	0.00117662	0.00139129	833.093
18	0.00139129	0.00164239	775.221
19	0.00164239	0.00193612	774.428
20	0.00193612	0.00227972	772.827
21	0.00227972	0.00268163	738.763
22	0.00268163	0.00315177	692.085
23	0.00315177	0.00370172	671.341
24	0.00370172	0.00434502	688.482
25	0.00434502	0.00509752	722.562
26	0.00509752	0.00597776	748.174
27	0.00597776	0.00700742	780.192
28	0.00700742	0.00821186	780.192
29	0.00821186	0.00962076	974.087
30	0.00962076	0.0112688	974.087
31	0.0112688	inf	974.087
