time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.09904e-05	368.121
1	1.09904e-05	2.38464e-05	368.121
2	2.38464e-05	3.88847e-05	2295.47
3	3.88847e-05	5.64758e-05	1342.9
4	5.64758e-05	7.70529e-05	2182.03
5	7.70529e-05	0.000101123	2567.21
6	0.000101123	0.000129279	2122.13
7	0.000129279	0.000162215	1642.26
8	0.000162215	0.000200741	1452.7
9	0.000200741	0.000245807	1472.64
10	0.000245807	0.000298523	1556.84
11	0.000298523	0.000360188	1600.48
12	0.000360188	0.00043232	1569.85
13	0.00043232	0.000516697	1482.39
14	0.000516697	0.000615396	1379.52
15	0.000615396	0.00073085	1297.95
16	0.00073085	0.000865902	1246.73
17	0.000865902	0.00102388	1208.28
18	0.00102388	0.00120867	1154.84
19	0.00120867	0.00142484	1068.13
20	0.00142484	0.00167769	952.106
21	0.00167769	0.00197347	826.177
22	0.00197347	0.00231946	708.098
23	0.00231946	0.00272418	609.556
24	0.00272418	0.00319759	537.253
25	0.00319759	0.00375138	491.596
26	0.00375138	0.00439916	469.664
27	0.00439916	0.00515691	481.296
28	0.00515691	0.00604329	481.296
29	0.00604329	0.00708012	302.984
30	0.00708012	0.00829297	302.984
31	0.00829297	inf	302.984
