time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.00672e-05	461.521
1	1.00672e-05	2.16861e-05	461.521
2	2.16861e-05	3.50959e-05	1814.59
3	3.50959e-05	5.05726e-05	1814.59
4	5.05726e-05	6.84347e-05	1705.26
5	6.84347e-05	8.90501e-05	2382.9
6	8.90501e-05	0.000112843	2356.04
7	0.000112843	0.000140303	1897.59
8	0.000140303	0.000171996	1556.91
9	0.000171996	0.000208574	1448.96
10	0.000208574	0.000250789	1485.62
11	0.000250789	0.000299512	1557.45
12	0.000299512	0.000355744	1588.24
13	0.000355744	0.000420644	1553.33
14	0.000420644	0.000495547	1471.07
15	0.000495547	0.000581995	1378.84
16	0.000581995	0.000681768	1306.85
17	0.000681768	0.000796919	1263.51
18	0.000796919	0.000929819	1237.01
19	0.000929819	0.0010832	1204.92
20	0.0010832	0.00126023	1146.38
21	0.00126023	0.00146454	1053.81
22	0.00146454	0.00170035	935.959
23	0.00170035	0.0019725	809.597
24	0.0019725	0.00228659	691.424
25	0.00228659	0.0026491	594.715
26	0.0026491	0.00306749	525.451
27	0.00306749	0.00355036	481.773
28	0.00355036	0.00410767	458.8
29	0.00410767	0.00475087	471.508
30	0.00475087	0.00549321	471.508
31	0.00549321	0.00634997	471.508
32	0.00634997	0.00733879	313.943
33	0.00733879	0.00848001	313.943
34	0.00848001	inf	313.943
