time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.10679e-05	530.71
1	1.10679e-05	2.40145e-05	530.71
2	2.40145e-05	3.91589e-05	2391.21
3	3.91589e-05	5.6874e-05	1413.26
4	5.6874e-05	7.75962e-05	2278.84
5	7.75962e-05	0.000101836	2579.17
6	0.000101836	0.000130191	2073.3
7	0.000130191	0.000163358	1608.27
8	0.000163358	0.000202156	1445.19
9	0.000202156	0.00024754	1475.21
10	0.00024754	0.000300628	1553.69
11	0.000300628	0.000362727	1582.56
12	0.000362727	0.000435368	1534.28
13	0.000435368	0.00052034	1437.02
14	0.00052034	0.000619735	1338.71
15	0.000619735	0.000736003	1271.88
16	0.000736003	0.000872007	1237.12
17	0.000872007	0.0010311	1208.94
18	0.0010311	0.0012172	1153.32
19	0.0012172	0.00143488	1050.07
20	0.00143488	0.00168952	906.995
21	0.00168952	0.00198739	751.163
22	0.00198739	0.00233581	611.073
23	0.00233581	0.00274338	507.723
24	0.00274338	0.00322014	451.379
25	0.00322014	0.00377783	445.398
26	0.00377783	0.00443018	499.317
27	0.00443018	0.00519327	937.686
28	0.00519327	0.0060859	937.686
29	0.0060859	0.00713004	103.625
30	0.00713004	0.00835144	103.625
31	0.00835144	inf	103.625
