time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.00497e-05	494.963
1	1.00497e-05	2.16485e-05	494.963
2	2.16485e-05	3.5035e-05	1901.58
3	3.5035e-05	5.04849e-05	1901.58
4	5.04849e-05	6.83161e-05	1854.49
5	6.83161e-05	8.88957e-05	2518.47
6	8.88957e-05	0.000112647	2382.37
7	0.000112647	0.00014006	1872.61
8	0.00014006	0.000171698	1540.57
9	0.000171698	0.000208212	1445.1
10	0.000208212	0.000250355	1485.86
11	0.000250355	0.000298993	1554.72
12	0.000298993	0.000355128	1586.41
13	0.000355128	0.000419915	1547.37
14	0.000419915	0.000494688	1461.63
15	0.000494688	0.000580986	1366.84
16	0.000580986	0.000680586	1293.46
17	0.000680586	0.000795538	1250.86
18	0.000795538	0.000928208	1226.86
19	0.000928208	0.00108133	1196.7
20	0.00108133	0.00125805	1135.86
21	0.00125805	0.001462	1033.96
22	0.001462	0.0016974	900.557
23	0.0016974	0.00196908	757.044
24	0.00196908	0.00228263	625.337
25	0.00228263	0.00264451	522.318
26	0.00264451	0.00306217	457.186
27	0.00306217	0.00354421	432.524
28	0.00354421	0.00410054	451.009
29	0.00410054	0.00474263	795.792
30	0.00474263	0.00548368	795.792
31	0.00548368	0.00633896	795.792
32	0.00633896	0.00732606	104.042
33	0.00732606	0.00846531	104.042
34	0.00846531	inf	104.042
