time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.12376e-05	207.255
1	2.12376e-05	4.60802e-05	207.255
2	4.60802e-05	7.51399e-05	1218.73
3	7.51399e-05	0.000109132	384.869
4	0.000109132	0.000148895	610.063
5	0.000148895	0.000195408	967.619
6	0.000195408	0.000249816	1086.18
7	0.000249816	0.00031346	916.149
8	0.00031346	0.000387907	712.207
9	0.000387907	0.000474992	605.644
10	0.000474992	0.000576859	585.629
11	0.000576859	0.000696018	610.275
12	0.000696018	0.000835405	643.71
13	0.000835405	0.000998452	666.591
14	0.000998452	0.00118918	677.583
15	0.00118918	0.00141228	681.351
16	0.00141228	0.00167325	680.714
17	0.00167325	0.00197852	680.977
18	0.00197852	0.00233561	688.992
19	0.00233561	0.00275332	705.33
20	0.00275332	0.00324193	725.475
21	0.00324193	0.00381349	748.694
22	0.00381349	0.00448206	777.203
23	0.00448206	0.00526413	810.475
24	0.00526413	0.00617896	855.725
25	0.00617896	0.00724907	936.461
26	0.00724907	0.00850084	1057.68
27	0.00850084	0.00996509	1172.19
28	0.00996509	0.0116779	1172.19
29	0.0116779	0.0136815	1011.75
30	0.0136815	0.0160251	1011.75
31	0.0160251	inf	1011.75
