time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.93509e-05	90.0949
1	1.93509e-05	4.16844e-05	90.0949
2	4.16844e-05	6.74603e-05	894.349
3	6.74603e-05	9.72091e-05	894.349
4	9.72091e-05	0.000131543	419.555
5	0.000131543	0.00017117	868.987
6	0.00017117	0.000216904	1070.88
7	0.000216904	0.000269687	943.062
8	0.000269687	0.000330606	764.071
9	0.000330606	0.000400914	649.001
10	0.000400914	0.00048206	601.042
11	0.00048206	0.000575713	589.283
12	0.000575713	0.000683801	599.653
13	0.000683801	0.00080855	624.141
14	0.00080855	0.000952526	653.161
15	0.000952526	0.00111869	676.838
16	0.00111869	0.00131047	687.83
17	0.00131047	0.00153182	689.839
18	0.00153182	0.00178727	688.929
19	0.00178727	0.0020821	691.219
20	0.0020821	0.00242238	703.346
21	0.00242238	0.0028151	722.787
22	0.0028151	0.00326836	740.85
23	0.00326836	0.00379148	756.382
24	0.00379148	0.00439522	781.769
25	0.00439522	0.00509203	836.832
26	0.00509203	0.00589624	936.016
27	0.00589624	0.00682441	1060.15
28	0.00682441	0.00789564	1192.65
29	0.00789564	0.00913198	1483.2
30	0.00913198	0.0105589	1483.2
31	0.0105589	0.0122057	1483.2
32	0.0122057	0.0141064	174572
33	0.0141064	0.0163	174572
34	0.0163	inf	174572
