time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.11492e-05	168.175
1	2.11492e-05	4.58885e-05	168.175
2	4.58885e-05	7.48273e-05	1345.14
3	7.48273e-05	0.000108678	336.307
4	0.000108678	0.000148276	658.936
5	0.000148276	0.000194595	950.897
6	0.000194595	0.000248776	1020.02
7	0.000248776	0.000312155	898.291
8	0.000312155	0.000386293	719.895
9	0.000386293	0.000473015	615.597
10	0.000473015	0.000574459	589.398
11	0.000574459	0.000693122	610.008
12	0.000693122	0.000831929	648.047
13	0.000831929	0.000994298	680.545
14	0.000994298	0.00118423	696.234
15	0.00118423	0.0014064	699.001
16	0.0014064	0.00166629	694.484
17	0.00166629	0.00197029	690.913
18	0.00197029	0.00232589	696.244
19	0.00232589	0.00274186	711.467
20	0.00274186	0.00322844	730.444
21	0.00322844	0.00379762	748.139
22	0.00379762	0.00446342	769.498
23	0.00446342	0.00524223	811.974
24	0.00524223	0.00615325	902.183
25	0.00615325	0.00721891	1060.88
26	0.00721891	0.00846547	1304.63
27	0.00846547	0.00992363	1669.37
28	0.00992363	0.0116293	1669.37
29	0.0116293	0.0136245	165277
30	0.0136245	0.0159585	165277
31	0.0159585	inf	165277
