time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.67948e-05	212.441
1	1.67948e-05	3.61782e-05	212.441
2	3.61782e-05	5.85493e-05	299.699
3	5.85493e-05	8.43685e-05	299.699
4	8.43685e-05	0.000114167	840.038
5	0.000114167	0.000148559	779.255
6	0.000148559	0.000188252	518.04
7	0.000188252	0.000234063	429.159
8	0.000234063	0.000286935	450.932
9	0.000286935	0.000347957	534.115
10	0.000347957	0.000418383	657.727
11	0.000418383	0.000499666	804.344
12	0.000499666	0.000593476	953.502
13	0.000593476	0.000701746	1076.53
14	0.000701746	0.000826704	1130.3
15	0.000826704	0.000970923	1105.38
16	0.000970923	0.00113737	1026.46
17	0.00113737	0.00132947	928.103
18	0.00132947	0.00155119	843.94
19	0.00155119	0.00180707	793.581
20	0.00180707	0.0021024	785.451
21	0.0021024	0.00244325	820.999
22	0.00244325	0.00283663	896.922
23	0.00283663	0.00329065	1002.35
24	0.00329065	0.00381465	1117.56
25	0.00381465	0.00441941	1227.76
26	0.00441941	0.00511739	1326.35
27	0.00511739	0.00592295	1434.17
28	0.00592295	0.00685268	1550.9
29	0.00685268	0.00792571	1638.27
30	0.00792571	0.00916413	1638.27
31	0.00916413	0.0105934	1638.27
32	0.0105934	0.012243	200927
33	0.012243	0.0141469	200927
34	0.0141469	inf	200927
