time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.89055e-05	238.112
1	1.89055e-05	4.10202e-05	238.112
2	4.10202e-05	6.68889e-05	271.2
3	6.68889e-05	9.71488e-05	841.213
4	9.71488e-05	0.000132545	774.457
5	0.000132545	0.00017395	547.437
6	0.00017395	0.000222384	426.458
7	0.000222384	0.000279039	451.414
8	0.000279039	0.000345311	556.311
9	0.000345311	0.000422833	707.09
10	0.000422833	0.000513515	870.25
11	0.000513515	0.000619589	1009.01
12	0.000619589	0.00074367	1089.87
13	0.00074367	0.000888814	1090.82
14	0.000888814	0.0010586	1021.01
15	0.0010586	0.0012572	919.837
16	0.0012572	0.00148951	826.701
17	0.00148951	0.00176126	763.444
18	0.00176126	0.00207914	736.163
19	0.00207914	0.00245098	741.682
20	0.00245098	0.00288594	775.462
21	0.00288594	0.00339473	840.959
22	0.00339473	0.0039899	952.115
23	0.0039899	0.00468609	1115.89
24	0.00468609	0.00550045	1301.38
25	0.00550045	0.00645306	1437.61
26	0.00645306	0.00756737	1454.11
27	0.00756737	0.00887084	1408.13
28	0.00887084	0.0103956	1408.13
29	0.0103956	0.0121791	1750.72
30	0.0121791	0.0142654	1750.72
31	0.0142654	inf	1750.72
