time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.80848e-05	180.734
1	1.80848e-05	3.89571e-05	180.734
2	3.89571e-05	6.30466e-05	492.085
3	6.30466e-05	9.0849e-05	492.085
4	9.0849e-05	0.000122937	914.081
5	0.000122937	0.00015997	707.164
6	0.00015997	0.000202712	457.219
7	0.000202712	0.000252042	419.371
8	0.000252042	0.000308975	489.901
9	0.000308975	0.000374684	613.276
10	0.000374684	0.00045052	753.525
11	0.00045052	0.000538046	884.22
12	0.000538046	0.000639062	984.161
13	0.000639062	0.000755649	1033.99
14	0.000755649	0.000890205	1022.61
15	0.000890205	0.0010455	958.194
16	0.0010455	0.00122473	866.307
17	0.00122473	0.00143159	774.538
18	0.00143159	0.00167034	701.084
19	0.00167034	0.00194588	653.211
20	0.00194588	0.00226389	631.948
21	0.00226389	0.00263092	637.268
22	0.00263092	0.00305452	669.265
23	0.00305452	0.00354341	726.506
24	0.00354341	0.00410766	803.899
25	0.00410766	0.00475888	892.803
26	0.00475888	0.00551047	987.878
27	0.00551047	0.00637791	1089.56
28	0.00637791	0.00737905	1191.73
29	0.00737905	0.0085345	1276.31
30	0.0085345	0.00986805	1276.31
31	0.00986805	0.0114071	1276.31
32	0.0114071	0.0131835	1235.85
33	0.0131835	0.0152336	1235.85
34	0.0152336	inf	1235.85
