time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.82449e-05	318.692
1	1.82449e-05	3.95869e-05	318.692
2	3.95869e-05	6.45517e-05	409.64
3	6.45517e-05	9.37542e-05	541.022
4	9.37542e-05	0.000127914	1009.45
5	0.000127914	0.000167872	730.537
6	0.000167872	0.000214613	516.263
7	0.000214613	0.000269289	506.779
8	0.000269289	0.000333246	579.596
9	0.000333246	0.000408059	689.463
10	0.000408059	0.000495572	825.073
11	0.000495572	0.00059794	965.415
12	0.00059794	0.000717685	1071.71
13	0.000717685	0.000857757	1106.22
14	0.000857757	0.00102161	1058.81
15	0.00102161	0.00121327	960.102
16	0.00121327	0.00143747	860.597
17	0.00143747	0.00169972	795.54
18	0.00169972	0.00200649	774.374
19	0.00200649	0.00236534	792.51
20	0.00236534	0.0027851	842.353
21	0.0027851	0.00327612	918.12
22	0.00327612	0.00385048	1016.89
23	0.00385048	0.00452235	1131.34
24	0.00452235	0.00530826	1237.14
25	0.00530826	0.00622758	1294.19
26	0.00622758	0.00730296	1266.55
27	0.00730296	0.00856088	1257.4
28	0.00856088	0.0100323	1257.4
29	0.0100323	0.0117536	62.1795
30	0.0117536	0.013767	62.1795
31	0.013767	inf	62.1795
