time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.04034e-05	699.534
1	1.04034e-05	2.24103e-05	699.534
2	2.24103e-05	3.62679e-05	1892.21
3	3.62679e-05	5.22615e-05	1892.21
4	5.22615e-05	7.07202e-05	1453.4
5	7.07202e-05	9.2024e-05	4250.04
6	9.2024e-05	0.000116612	8281.59
7	0.000116612	0.000144989	5970.88
8	0.000144989	0.00017774	1720.95
9	0.00017774	0.000215539	595.25
10	0.000215539	0.000259165	376.719
11	0.000259165	0.000309514	378.945
12	0.000309514	0.000367625	467.695
13	0.000367625	0.000434692	595.726
14	0.000434692	0.000512096	737.467
15	0.000512096	0.000601432	878.804
16	0.000601432	0.000704536	1004.3
17	0.000704536	0.000823533	1094.12
18	0.000823533	0.000960872	1125.82
19	0.000960872	0.00111938	1083.07
20	0.00111938	0.00130232	976.359
21	0.00130232	0.00151345	849.571
22	0.00151345	0.00175713	749.707
23	0.00175713	0.00203837	697.614
24	0.00203837	0.00236296	692.156
25	0.00236296	0.00273757	728.32
26	0.00273757	0.00316993	806.71
27	0.00316993	0.00366893	928.679
28	0.00366893	0.00424485	1087.55
29	0.00424485	0.00490953	1341.4
30	0.00490953	0.00567666	1341.4
31	0.00567666	0.00656203	1341.4
32	0.00656203	0.00758387	1757.75
33	0.00758387	0.00876321	1757.75
34	0.00876321	inf	1757.75
