time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.16565e-05	727.607
1	1.16565e-05	2.52917e-05	727.607
2	2.52917e-05	4.12415e-05	2424.63
3	4.12415e-05	5.98988e-05	720.989
4	5.98988e-05	8.17231e-05	2816.3
5	8.17231e-05	0.000107252	6711.23
6	0.000107252	0.000137115	6920.38
7	0.000137115	0.000172046	2453.14
8	0.000172046	0.000212908	716.343
9	0.000212908	0.000260705	394.804
10	0.000260705	0.000316616	383.164
11	0.000316616	0.000382019	473.091
12	0.000382019	0.000458523	613.796
13	0.000458523	0.000548014	782.018
14	0.000548014	0.000652695	950.603
15	0.000652695	0.000775147	1080.24
16	0.000775147	0.000918384	1138.28
17	0.000918384	0.00108594	1109
18	0.00108594	0.00128193	1002
19	0.00128193	0.00151119	861.827
20	0.00151119	0.00177938	745.943
21	0.00177938	0.00209308	686.549
22	0.00209308	0.00246004	687.818
23	0.00246004	0.00288929	744.062
24	0.00288929	0.0033914	845.862
25	0.0033914	0.00397875	986.698
26	0.00397875	0.0046658	1182.15
27	0.0046658	0.00546947	1510.23
28	0.00546947	0.00640957	1510.23
29	0.00640957	0.00750925	1962.4
30	0.00750925	0.0087956	1962.4
31	0.0087956	inf	1962.4
