time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.16049e-05	573.21
1	1.16049e-05	2.51798e-05	573.21
2	2.51798e-05	4.1059e-05	2916.65
3	4.1059e-05	5.96337e-05	707.433
4	5.96337e-05	8.13614e-05	2570.91
5	8.13614e-05	0.000106777	7047.05
6	0.000106777	0.000136508	7166.44
7	0.000136508	0.000171285	2336.46
8	0.000171285	0.000211965	723.168
9	0.000211965	0.000259552	404.467
10	0.000259552	0.000315215	384.409
11	0.000315215	0.000380328	474.515
12	0.000380328	0.000456494	622.444
13	0.000456494	0.000545588	793.118
14	0.000545588	0.000649807	951.932
15	0.000649807	0.000771716	1063.98
16	0.000771716	0.00091432	1103.61
17	0.00091432	0.00108113	1063.83
18	0.00108113	0.00127626	963.235
19	0.00127626	0.00150451	841.612
20	0.00150451	0.0017715	741.23
21	0.0017715	0.00208382	686.261
22	0.00208382	0.00244915	682.311
23	0.00244915	0.0028765	728.898
24	0.0028765	0.00337639	827.101
25	0.00337639	0.00396114	985.531
26	0.00396114	0.00464515	1222.13
27	0.00464515	0.00544527	1618.06
28	0.00544527	0.0063812	1618.06
29	0.0063812	0.00747602	1489.81
30	0.00747602	0.00875668	1489.81
31	0.00875668	inf	1489.81
