time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.05374e-05	560.06
1	1.05374e-05	2.2699e-05	560.06
2	2.2699e-05	3.6735e-05	2026.35
3	3.6735e-05	5.29346e-05	2026.35
4	5.29346e-05	7.1631e-05	1396.23
5	7.1631e-05	9.32092e-05	4514.26
6	9.32092e-05	0.000118113	8222.56
7	0.000118113	0.000146856	5331.01
8	0.000146856	0.000180029	1674.8
9	0.000180029	0.000218315	625.539
10	0.000218315	0.000262503	395.422
11	0.000262503	0.000313501	384.15
12	0.000313501	0.00037236	464.154
13	0.00037236	0.00044029	595.231
14	0.00044029	0.000518692	750.023
15	0.000518692	0.000609178	902.081
16	0.000609178	0.00071361	1024.22
17	0.00071361	0.00083414	1093.39
18	0.00083414	0.000973247	1096.74
19	0.000973247	0.0011338	1036.69
20	0.0011338	0.00131909	934.394
21	0.00131909	0.00153295	823.597
22	0.00153295	0.00177976	735.734
23	0.00177976	0.00206462	687.301
24	0.00206462	0.00239339	681.822
25	0.00239339	0.00277283	718.512
26	0.00277283	0.00321076	797.055
27	0.00321076	0.00371619	920.929
28	0.00371619	0.00429952	1100
29	0.00429952	0.00497276	1496.6
30	0.00497276	0.00574977	1496.6
31	0.00574977	0.00664655	1496.6
32	0.00664655	0.00768155	1521.45
33	0.00768155	0.00887608	1521.45
34	0.00887608	inf	1521.45
