time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.23929e-05	11.6765
1	2.23929e-05	4.85869e-05	11.6765
2	4.85869e-05	7.92275e-05	0.758053
3	7.92275e-05	0.000115069	1.25901
4	0.000115069	0.000156995	50.2192
5	0.000156995	0.000206038	206.739
6	0.000206038	0.000263406	456.879
7	0.000263406	0.000330512	520.131
8	0.000330512	0.000409009	495.449
9	0.000409009	0.000500831	532.829
10	0.000500831	0.00060824	649.053
11	0.00060824	0.000733881	808.288
12	0.000733881	0.000880851	967.561
13	0.000880851	0.00105277	1076.81
14	0.00105277	0.00125387	1075.91
15	0.00125387	0.0014891	979.296
16	0.0014891	0.00176427	876.529
17	0.00176427	0.00208615	816.488
18	0.00208615	0.00246267	802.254
19	0.00246267	0.0029031	823.527
20	0.0029031	0.00341829	858.673
21	0.00341829	0.00402094	887.168
22	0.00402094	0.00472589	935.991
23	0.00472589	0.0055505	1061.14
24	0.0055505	0.00651509	1260.66
25	0.00651509	0.00764342	1567.81
26	0.00764342	0.00896328	2098.31
27	0.00896328	0.0105072	283.1
28	0.0105072	0.0123132	283.1
29	0.0123132	0.0144257	79.7695
30	0.0144257	0.0168969	79.7695
31	0.0168969	inf	79.7695
