time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.02765e-05	0.760162
1	2.02765e-05	4.36784e-05	0.760162
2	4.36784e-05	7.06873e-05	10.2274
3	7.06873e-05	0.000101859	10.2274
4	0.000101859	0.000137836	27.9669
5	0.000137836	0.000179358	194.082
6	0.000179358	0.000227279	371.404
7	0.000227279	0.000282588	511.319
8	0.000282588	0.000346421	475.422
9	0.000346421	0.000420093	459.408
10	0.000420093	0.00050512	531.915
11	0.00050512	0.000603253	663.203
12	0.000603253	0.000716512	819.255
13	0.000716512	0.000847228	968.126
14	0.000847228	0.000998092	1068.14
15	0.000998092	0.00117221	1083.47
16	0.00117221	0.00137316	1020.8
17	0.00137316	0.00160509	928.322
18	0.00160509	0.00187277	853.155
19	0.00187277	0.0021817	813.686
20	0.0021817	0.00253826	804.439
21	0.00253826	0.00294977	812.322
22	0.00294977	0.0034247	826.304
23	0.0034247	0.00397285	845.885
24	0.00397285	0.00460548	901.74
25	0.00460548	0.00533562	1052.29
26	0.00533562	0.0061783	1330.18
27	0.0061783	0.00715086	1561.05
28	0.00715086	0.00827333	1343.05
29	0.00827333	0.00956882	983.971
30	0.00956882	0.011064	983.971
31	0.011064	0.0127896	983.971
32	0.0127896	0.0147812	166560
33	0.0147812	0.0170798	166560
34	0.0170798	inf	166560
