time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.65612e-06	8690.6
1	9.65612e-06	2.08006e-05	8690.6
2	2.08006e-05	3.36628e-05	555.977
3	3.36628e-05	4.85075e-05	555.977
4	4.85075e-05	6.56404e-05	547.468
5	6.56404e-05	8.54139e-05	907.182
6	8.54139e-05	0.000108235	1106.49
7	0.000108235	0.000134574	1259.89
8	0.000134574	0.000164973	1437.3
9	0.000164973	0.000200057	1630.78
10	0.000200057	0.000240549	1785.03
11	0.000240549	0.000287282	1827.93
12	0.000287282	0.000341218	1751.68
13	0.000341218	0.000403468	1618.44
14	0.000403468	0.000475312	1497.42
15	0.000475312	0.000558231	1422.34
16	0.000558231	0.00065393	1391.32
17	0.00065393	0.000764379	1382.29
18	0.000764379	0.000891852	1363.63
19	0.000891852	0.00103897	1300.39
20	0.00103897	0.00120877	1171.84
21	0.00120877	0.00140474	998.578
22	0.00140474	0.00163092	831.708
23	0.00163092	0.00189195	709.473
24	0.00189195	0.00219323	641.821
25	0.00219323	0.00254093	622.485
26	0.00254093	0.00294224	639.653
27	0.00294224	0.00340539	678.38
28	0.00340539	0.00393994	724.775
29	0.00393994	0.00455688	834.29
30	0.00455688	0.0052689	834.29
31	0.0052689	0.00609068	834.29
32	0.00609068	0.00703912	1379.21
33	0.00703912	0.00813375	1379.21
34	0.00813375	inf	1379.21
