time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.42945e-05	342.935
1	1.42945e-05	3.07922e-05	342.935
2	3.07922e-05	4.98328e-05	1830.54
3	4.98328e-05	7.18082e-05	1830.54
4	7.18082e-05	9.71708e-05	955.238
5	9.71708e-05	0.000126443	911.231
6	0.000126443	0.000160226	1032.47
7	0.000160226	0.000199217	1118.51
8	0.000199217	0.000244218	1153.52
9	0.000244218	0.000296155	1121.87
10	0.000296155	0.000356097	1059.69
11	0.000356097	0.000425278	1017.06
12	0.000425278	0.000505123	1001.46
13	0.000505123	0.000597274	1007.69
14	0.000597274	0.000703629	1031.1
15	0.000703629	0.000826377	1051.25
16	0.000826377	0.000968045	1037.9
17	0.000968045	0.00113155	974.355
18	0.00113155	0.00132025	883.856
19	0.00132025	0.00153805	806.995
20	0.00153805	0.00178941	757.857
21	0.00178941	0.00207951	729.609
22	0.00207951	0.00241433	716.618
23	0.00241433	0.00280076	722.381
24	0.00280076	0.00324674	750.946
25	0.00324674	0.00376147	797.751
26	0.00376147	0.00435554	858.835
27	0.00435554	0.00504118	943.415
28	0.00504118	0.00583249	1054.79
29	0.00583249	0.00674578	1120.8
30	0.00674578	0.00779983	1120.8
31	0.00779983	0.00901635	1120.8
32	0.00901635	0.0104204	617.174
33	0.0104204	0.0120408	617.174
34	0.0120408	inf	617.174
