time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.63132e-05	685.432
1	1.63132e-05	3.53955e-05	685.432
2	3.53955e-05	5.77171e-05	1854.81
3	5.77171e-05	8.38278e-05	1183.85
4	8.38278e-05	0.000114371	975.82
5	0.000114371	0.000150098	1002.96
6	0.000150098	0.000191891	1040.47
7	0.000191891	0.000240777	1012.05
8	0.000240777	0.000297962	1011.32
9	0.000297962	0.000364855	990.924
10	0.000364855	0.000443102	976.002
11	0.000443102	0.000534632	979.386
12	0.000534632	0.000641699	993.026
13	0.000641699	0.00076694	1011.4
14	0.00076694	0.000913441	1012.83
15	0.000913441	0.00108481	970.749
16	0.00108481	0.00128527	882.587
17	0.00128527	0.00151976	787.078
18	0.00151976	0.00179405	722.308
19	0.00179405	0.0021149	692.08
20	0.0021149	0.00249022	688.601
21	0.00249022	0.00292925	711.7
22	0.00292925	0.0034428	761.999
23	0.0034428	0.00404353	835.85
24	0.00404353	0.00474623	944.45
25	0.00474623	0.00556822	1130.35
26	0.00556822	0.00652974	1411.6
27	0.00652974	0.00765447	1239.44
28	0.00765447	0.00897013	1239.44
29	0.00897013	0.0105091	670.333
30	0.0105091	0.0123094	670.333
31	0.0123094	inf	670.333
