time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.60677e-05	581.278
1	1.60677e-05	3.48628e-05	581.278
2	3.48628e-05	5.68484e-05	2150.38
3	5.68484e-05	8.25661e-05	1100.83
4	8.25661e-05	0.000112649	876.291
5	0.000112649	0.000147839	993.331
6	0.000147839	0.000189003	1107.23
7	0.000189003	0.000237153	1068.37
8	0.000237153	0.000293478	1042.71
9	0.000293478	0.000359363	1020.72
10	0.000359363	0.000436433	999.795
11	0.000436433	0.000526585	977.753
12	0.000526585	0.000632041	982.608
13	0.000632041	0.000755397	1020.56
14	0.000755397	0.000899693	1028.13
15	0.000899693	0.00106848	987.703
16	0.00106848	0.00126593	908.926
17	0.00126593	0.00149689	825.616
18	0.00149689	0.00176705	759.303
19	0.00176705	0.00208307	719.619
20	0.00208307	0.00245274	706.903
21	0.00245274	0.00288516	718.351
22	0.00288516	0.00339099	744.557
23	0.00339099	0.00398267	804.721
24	0.00398267	0.0046748	954.851
25	0.0046748	0.00548442	1155.63
26	0.00548442	0.00643146	1417.21
27	0.00643146	0.00753927	1776.73
28	0.00753927	0.00883513	1776.73
29	0.00883513	0.010351	218008
30	0.010351	0.0121241	218008
31	0.0121241	inf	218008
