time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.58762e-05	694.174
1	1.58762e-05	3.44474e-05	694.174
2	3.44474e-05	5.6171e-05	492.039
3	5.6171e-05	8.15823e-05	650.883
4	8.15823e-05	0.000111307	769.909
5	0.000111307	0.000146078	825.186
6	0.000146078	0.000186751	809.16
7	0.000186751	0.000234328	796.003
8	0.000234328	0.000289981	820.564
9	0.000289981	0.000355081	877.139
10	0.000355081	0.000431233	965.993
11	0.000431233	0.000520311	1073.06
12	0.000520311	0.000624509	1175.8
13	0.000624509	0.000746396	1251.17
14	0.000746396	0.000888973	1283.15
15	0.000888973	0.00105575	1254.04
16	0.00105575	0.00125084	1153.19
17	0.00125084	0.00147905	1012.08
18	0.00147905	0.00174599	823.309
19	0.00174599	0.00205825	752.052
20	0.00205825	0.00242352	742.894
21	0.00242352	0.00285078	777.624
22	0.00285078	0.00335058	834.81
23	0.00335058	0.00393522	908.55
24	0.00393522	0.0046191	1017.92
25	0.0046191	0.00541907	1170.08
26	0.00541907	0.00635483	1286.26
27	0.00635483	0.00744944	1146.3
28	0.00744944	0.00872985	1146.3
29	0.00872985	0.0102276	720.723
30	0.0102276	0.0119796	720.723
31	0.0119796	inf	720.723
