time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.50483e-05	489.08
1	1.50483e-05	3.2416e-05	489.08
2	3.2416e-05	5.24607e-05	658.836
3	5.24607e-05	7.55949e-05	658.836
4	7.55949e-05	0.000102295	460.359
5	0.000102295	0.00013311	632.245
6	0.00013311	0.000168676	831.866
7	0.000168676	0.000209723	884.641
8	0.000209723	0.000257096	826.637
9	0.000257096	0.000311772	796.622
10	0.000311772	0.000374875	829.848
11	0.000374875	0.000447705	904.153
12	0.000447705	0.00053176	991.961
13	0.00053176	0.000628771	1075.22
14	0.000628771	0.000740734	1146.65
15	0.000740734	0.000869956	1195.86
16	0.000869956	0.00101909	1198.22
17	0.00101909	0.00119122	1133.15
18	0.00119122	0.00138988	1014.07
19	0.00138988	0.00161915	885.418
20	0.00161915	0.00188377	788.473
21	0.00188377	0.00218917	739.771
22	0.00218917	0.00254165	737.985
23	0.00254165	0.00294845	772.766
24	0.00294845	0.00341796	826.15
25	0.00341796	0.00395983	881.638
26	0.00395983	0.00458523	933.054
27	0.00458523	0.00530702	970.461
28	0.00530702	0.00614006	976.816
29	0.00614006	0.00710151	998.975
30	0.00710151	0.00821114	998.975
31	0.00821114	0.00949181	998.975
32	0.00949181	0.0109699	1620.68
33	0.0109699	0.0126758	1620.68
34	0.0126758	inf	1620.68
