time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.63962e-05	490.918
1	1.63962e-05	3.55756e-05	490.918
2	3.55756e-05	5.80108e-05	804.935
3	5.80108e-05	8.42543e-05	328.667
4	8.42543e-05	0.000114953	614.444
5	0.000114953	0.000150862	811.861
6	0.000150862	0.000192867	876.839
7	0.000192867	0.000242002	838.764
8	0.000242002	0.000299479	779.422
9	0.000299479	0.000366711	801.195
10	0.000366711	0.000445357	895.082
11	0.000445357	0.000537352	1003.84
12	0.000537352	0.000644964	1096.89
13	0.000644964	0.000770842	1173.48
14	0.000770842	0.000918089	1221.38
15	0.000918089	0.00109033	1201.61
16	0.00109033	0.00129181	1098.22
17	0.00129181	0.00152749	955.456
18	0.00152749	0.00180318	832.3
19	0.00180318	0.00212567	756.788
20	0.00212567	0.00250289	730.774
21	0.00250289	0.00294415	747.66
22	0.00294415	0.00346032	797.276
23	0.00346032	0.00406411	874.381
24	0.00406411	0.00477038	988.324
25	0.00477038	0.00559655	1138.09
26	0.00559655	0.00656296	1272.89
27	0.00656296	0.00769342	1350.45
28	0.00769342	0.00901578	1350.45
29	0.00901578	0.0105626	2526.74
30	0.0105626	0.012372	2526.74
31	0.012372	inf	2526.74
