time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.48879e-05	494.558
1	1.48879e-05	3.20706e-05	494.558
2	3.20706e-05	5.19017e-05	637.176
3	5.19017e-05	7.47894e-05	637.176
4	7.47894e-05	0.000101205	406.108
5	0.000101205	0.000131692	697.708
6	0.000131692	0.000166878	862.709
7	0.000166878	0.000207488	883.64
8	0.000207488	0.000254357	822.904
9	0.000254357	0.00030845	776.555
10	0.00030845	0.000370881	807.34
11	0.000370881	0.000442934	895.359
12	0.000442934	0.000526094	995.213
13	0.000526094	0.000622071	1082.45
14	0.000622071	0.000732841	1155.93
15	0.000732841	0.000860686	1210.75
16	0.000860686	0.00100824	1220.59
17	0.00100824	0.00117853	1159.37
18	0.00117853	0.00137507	1040.71
19	0.00137507	0.0016019	911.34
20	0.0016019	0.0018637	810.049
21	0.0018637	0.00216584	750.576
22	0.00216584	0.00251456	731.666
23	0.00251456	0.00291703	747.575
24	0.00291703	0.00338154	790.574
25	0.00338154	0.00391764	856.727
26	0.00391764	0.00453637	952.31
27	0.00453637	0.00525047	1080.74
28	0.00525047	0.00607464	1215.46
29	0.00607464	0.00702584	1321.04
30	0.00702584	0.00812365	1321.04
31	0.00812365	0.00939067	1321.04
32	0.00939067	0.010853	2355.81
33	0.010853	0.0125407	2355.81
34	0.0125407	inf	2355.81
