time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.05155e-05	239.716
1	1.05155e-05	2.28161e-05	239.716
2	2.28161e-05	3.72046e-05	3273.3
3	3.72046e-05	5.40356e-05	2325.7
4	5.40356e-05	7.37237e-05	1130.51
5	7.37237e-05	9.67539e-05	1247.44
6	9.67539e-05	0.000123693	1878.46
7	0.000123693	0.000155206	2427.47
8	0.000155206	0.000192068	2409.94
9	0.000192068	0.000235187	2045.71
10	0.000235187	0.000285625	1714.48
11	0.000285625	0.000344625	1530.77
12	0.000344625	0.000413641	1454.72
13	0.000413641	0.000494372	1426.19
14	0.000494372	0.000588807	1409.2
15	0.000588807	0.000699273	1393.53
16	0.000699273	0.00082849	1376.35
17	0.00082849	0.000979641	1342.36
18	0.000979641	0.00115645	1266.24
19	0.00115645	0.00136327	1142.1
20	0.00136327	0.00160521	994.78
21	0.00160521	0.0018882	852.704
22	0.0018882	0.00221924	730.596
23	0.00221924	0.00260647	636.15
24	0.00260647	0.00305944	571.374
25	0.00305944	0.00358929	530.721
26	0.00358929	0.00420909	508.778
27	0.00420909	0.0049341	521.643
28	0.0049341	0.00578218	521.643
29	0.00578218	0.00677422	540.931
30	0.00677422	0.00793466	540.931
31	0.00793466	inf	540.931
