time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.54821e-06	197.52
1	9.54821e-06	2.05681e-05	197.52
2	2.05681e-05	3.32866e-05	2693.89
3	3.32866e-05	4.79654e-05	2693.89
4	4.79654e-05	6.49068e-05	1594.76
5	6.49068e-05	8.44594e-05	1141.48
6	8.44594e-05	0.000107026	1477.03
7	0.000107026	0.00013307	2088.2
8	0.00013307	0.000163129	2457.44
9	0.000163129	0.000197821	2349.17
10	0.000197821	0.000237861	2011.62
11	0.000237861	0.000284071	1716.61
12	0.000284071	0.000337405	1543.6
13	0.000337405	0.000398959	1464.14
14	0.000398959	0.00047	1431.47
15	0.00047	0.000551992	1413.89
16	0.000551992	0.000646621	1399.23
17	0.000646621	0.000755836	1385.48
18	0.000755836	0.000881885	1366.17
19	0.000881885	0.00102736	1323.83
20	0.00102736	0.00119526	1241.18
21	0.00119526	0.00138904	1121.07
22	0.00138904	0.00161269	985.567
23	0.00161269	0.00187081	855.655
24	0.00187081	0.00216871	742.212
25	0.00216871	0.00251254	651.292
26	0.00251254	0.00290935	585.396
27	0.00290935	0.00336733	541.311
28	0.00336733	0.00389591	514.33
29	0.00389591	0.00450595	519.474
30	0.00450595	0.00521002	519.474
31	0.00521002	0.00602261	519.474
32	0.00602261	0.00696045	551.892
33	0.00696045	0.00804285	551.892
34	0.00804285	inf	551.892
