time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.36544e-05	376.631
1	1.36544e-05	2.96265e-05	376.631
2	2.96265e-05	4.831e-05	1893.44
3	4.831e-05	7.0165e-05	714.651
4	7.0165e-05	9.57299e-05	1290.92
5	9.57299e-05	0.000125634	1460.17
6	0.000125634	0.000160615	1457.95
7	0.000160615	0.000201534	1455.06
8	0.000201534	0.000249399	1471.15
9	0.000249399	0.000305388	1558.95
10	0.000305388	0.000370882	1622.83
11	0.000370882	0.000447494	1523.89
12	0.000447494	0.000537111	1304.57
13	0.000537111	0.000641939	1093.5
14	0.000641939	0.000764563	973.289
15	0.000764563	0.000908002	930.67
16	0.000908002	0.00107579	920.272
17	0.00107579	0.00127206	904.499
18	0.00127206	0.00150165	862.013
19	0.00150165	0.0017702	805.421
20	0.0017702	0.00208435	755.208
21	0.00208435	0.00245182	727.997
22	0.00245182	0.00288167	733.556
23	0.00288167	0.00338449	774.281
24	0.00338449	0.00397266	851.096
25	0.00397266	0.00466068	964.158
26	0.00466068	0.00546548	1120.26
27	0.00546548	0.0064069	1347.42
28	0.0064069	0.00750813	1347.42
29	0.00750813	0.00879628	257430
30	0.00879628	0.0103031	257430
31	0.0103031	inf	257430
