time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.23983e-05	346.205
1	1.23983e-05	2.67076e-05	346.205
2	2.67076e-05	4.32225e-05	1424.88
3	4.32225e-05	6.22828e-05	1424.88
4	6.22828e-05	8.42811e-05	876.058
5	8.42811e-05	0.00010967	1371.71
6	0.00010967	0.000138972	1466.48
7	0.000138972	0.000172791	1476.36
8	0.000172791	0.000211822	1462.6
9	0.000211822	0.00025687	1482.9
10	0.00025687	0.000308861	1567.37
11	0.000308861	0.000368865	1621.1
12	0.000368865	0.000438118	1536.27
13	0.000438118	0.000518046	1341.08
14	0.000518046	0.000610293	1138.4
15	0.000610293	0.000716759	1002.82
16	0.000716759	0.000839634	942.029
17	0.000839634	0.000981449	924.22
18	0.000981449	0.00114512	915.51
19	0.00114512	0.00133402	892.98
20	0.00133402	0.00155204	848.488
21	0.00155204	0.00180366	795.758
22	0.00180366	0.00209407	751.805
23	0.00209407	0.00242924	728.668
24	0.00242924	0.00281606	733.185
25	0.00281606	0.00326252	766.935
26	0.00326252	0.00377778	830.499
27	0.00377778	0.00437247	923.046
28	0.00437247	0.00505881	1045.51
29	0.00505881	0.00585095	1264.81
30	0.00585095	0.00676518	1264.81
31	0.00676518	0.00782033	1264.81
32	0.00782033	0.00903811	274116
33	0.00903811	0.0104436	274116
34	0.0104436	inf	274116
