time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.35247e-06	3.54131
1	4.35247e-06	9.37581e-06	3.54131
2	9.37581e-06	1.51734e-05	361.888
3	1.51734e-05	2.18646e-05	361.888
4	2.18646e-05	2.95872e-05	14399.2
5	2.95872e-05	3.85001e-05	4225.41
6	3.85001e-05	4.87868e-05	1920.37
7	4.87868e-05	6.0659e-05	1697.19
8	6.0659e-05	7.43611e-05	2128.28
9	7.43611e-05	9.01752e-05	2980.01
10	9.01752e-05	0.000108427	4064.25
11	0.000108427	0.000129492	5151.34
12	0.000129492	0.000153803	5950.76
13	0.000153803	0.000181862	6152.83
14	0.000181862	0.000214246	5672.49
15	0.000214246	0.000251621	4806.79
16	0.000251621	0.000294757	3964.07
17	0.000294757	0.000344542	3330.86
18	0.000344542	0.000402	2876.95
19	0.000402	0.000468315	2517.96
20	0.000468315	0.000544851	2209.66
21	0.000544851	0.000633184	1938.09
22	0.000633184	0.000735132	1688.79
23	0.000735132	0.000852793	1448.11
24	0.000852793	0.000988591	1214.94
25	0.000988591	0.00114532	1000.12
26	0.00114532	0.00132621	816.807
27	0.00132621	0.00153497	673.453
28	0.00153497	0.00177592	571.464
29	0.00177592	0.002054	480.964
30	0.002054	0.00237494	480.964
31	0.00237494	0.00274536	480.964
32	0.00274536	0.00317287	1214.28
33	0.00317287	0.00366627	1214.28
34	0.00366627	inf	1214.28
