time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.53375e-06	3.74414
1	4.53375e-06	9.8371e-06	3.74414
2	9.8371e-06	1.60407e-05	65.9473
3	1.60407e-05	2.32974e-05	7789.91
4	2.32974e-05	3.17858e-05	7935.88
5	3.17858e-05	4.17152e-05	3093.87
6	4.17152e-05	5.33301e-05	2108.01
7	5.33301e-05	6.69167e-05	2347.82
8	6.69167e-05	8.28095e-05	3120.88
9	8.28095e-05	0.0001014	4141.95
10	0.0001014	0.000123147	5116.96
11	0.000123147	0.000148584	5763.46
12	0.000148584	0.00017834	5900.77
13	0.00017834	0.000213147	5550.82
14	0.000213147	0.000253863	4928.1
15	0.000253863	0.00030149	4256.56
16	0.00030149	0.000357202	3630.97
17	0.000357202	0.00042237	3049.07
18	0.00042237	0.000498601	2513.87
19	0.000498601	0.000587773	2058.61
20	0.000587773	0.000692081	1709.54
21	0.000692081	0.000814095	1447.65
22	0.000814095	0.000956822	1226.53
23	0.000956822	0.00112378	1025.39
24	0.00112378	0.00131907	859.659
25	0.00131907	0.00154752	750.062
26	0.00154752	0.00181474	703.345
27	0.00181474	0.00212733	717.392
28	0.00212733	0.00249297	717.392
29	0.00249297	0.00292069	934.889
30	0.00292069	0.00342101	934.889
31	0.00342101	inf	934.889
