time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.22647e-06	4.01636
1	4.22647e-06	9.17038e-06	4.01636
2	9.17038e-06	1.49535e-05	24243.6
3	1.49535e-05	2.17183e-05	16303.8
4	2.17183e-05	2.96315e-05	5429.84
5	2.96315e-05	3.88879e-05	3702.43
6	3.88879e-05	4.97156e-05	2648.68
7	4.97156e-05	6.23813e-05	2106.69
8	6.23813e-05	7.7197e-05	1995.26
9	7.7197e-05	9.45276e-05	2362.69
10	9.45276e-05	0.0001148	3197.76
11	0.0001148	0.000138514	4304.76
12	0.000138514	0.000166253	5366.01
13	0.000166253	0.000198701	5987.77
14	0.000198701	0.000236657	5815.5
15	0.000236657	0.000281056	4910.85
16	0.000281056	0.000332992	3851.99
17	0.000332992	0.000393744	3094.61
18	0.000393744	0.000464808	2651.68
19	0.000464808	0.000547936	2383.71
20	0.000547936	0.000645174	2198.63
21	0.000645174	0.000758919	2010.86
22	0.000758919	0.000891972	1716.96
23	0.000891972	0.00104761	1315.38
24	0.00104761	0.00122967	904.541
25	0.00122967	0.00144263	543.137
26	0.00144263	0.00169174	287.412
27	0.00169174	0.00198314	125.183
28	0.00198314	0.00232401	125.183
29	0.00232401	0.00272274	1125.91
30	0.00272274	0.00318915	1125.91
31	0.00318915	inf	1125.91
