time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.73409e-06	4.12777
1	3.73409e-06	8.04373e-06	4.12777
2	8.04373e-06	1.30176e-05	21817.3
3	1.30176e-05	1.87582e-05	21817.3
4	1.87582e-05	2.53836e-05	8379.21
5	2.53836e-05	3.30302e-05	3667.68
6	3.30302e-05	4.18553e-05	2929.23
7	4.18553e-05	5.20408e-05	2544.02
8	5.20408e-05	6.37962e-05	2261.68
9	6.37962e-05	7.73635e-05	2208.94
10	7.73635e-05	9.30219e-05	2467.57
11	9.30219e-05	0.000111094	3077.89
12	0.000111094	0.000131951	3983.66
13	0.000131951	0.000156024	4993.83
14	0.000156024	0.000183807	5793.54
15	0.000183807	0.000215872	6023.62
16	0.000215872	0.000252879	5511.07
17	0.000252879	0.000295591	4553.41
18	0.000295591	0.000344885	3671.45
19	0.000344885	0.000401778	3099.95
20	0.000401778	0.00046744	2768.03
21	0.00046744	0.000543223	2518.76
22	0.000543223	0.000630687	2249.55
23	0.000630687	0.000731632	1940.05
24	0.000731632	0.000848135	1609.74
25	0.000848135	0.000982597	1290.54
26	0.000982597	0.00113778	1017.41
27	0.00113778	0.00131689	812.05
28	0.00131689	0.0015236	669.596
29	0.0015236	0.00176217	487.128
30	0.00176217	0.00203752	487.128
31	0.00203752	0.00235531	487.128
32	0.00235531	0.00272208	639.231
33	0.00272208	0.00314538	639.231
34	0.00314538	inf	639.231
