time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.25047e-06	3.99368
1	4.25047e-06	9.22245e-06	3.99368
2	9.22245e-06	1.50384e-05	27349.5
3	1.50384e-05	2.18417e-05	14149.9
4	2.18417e-05	2.97998e-05	5549.33
5	2.97998e-05	3.91087e-05	3492.29
6	3.91087e-05	4.99979e-05	2625.57
7	4.99979e-05	6.27355e-05	2199.21
8	6.27355e-05	7.76353e-05	2152
9	7.76353e-05	9.50644e-05	2520.09
10	9.50644e-05	0.000115452	3297.2
11	0.000115452	0.0001393	4330.35
12	0.0001393	0.000167197	5279.72
13	0.000167197	0.000199829	5737.59
14	0.000199829	0.000238001	5461.81
15	0.000238001	0.000282652	4633.13
16	0.000282652	0.000334882	3761.43
17	0.000334882	0.000395979	3160.72
18	0.000395979	0.000467447	2810.3
19	0.000467447	0.000551047	2564.77
20	0.000551047	0.000648837	2287.47
21	0.000648837	0.000763228	1906.35
22	0.000763228	0.000897036	1466.88
23	0.000897036	0.00105356	1087.77
24	0.00105356	0.00123665	832.156
25	0.00123665	0.00145082	680.545
26	0.00145082	0.00170135	590.48
27	0.00170135	0.0019944	508.774
28	0.0019944	0.0023372	508.774
29	0.0023372	0.0027382	629.515
30	0.0027382	0.00320725	629.515
31	0.00320725	inf	629.515
