time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.85947e-06	3.99368
1	3.85947e-06	8.31381e-06	3.99368
2	8.31381e-06	1.34547e-05	20720.4
3	1.34547e-05	1.9388e-05	20720.4
4	1.9388e-05	2.62359e-05	8244.27
5	2.62359e-05	3.41392e-05	4035.3
6	3.41392e-05	4.32607e-05	2894.46
7	4.32607e-05	5.37881e-05	2365.21
8	5.37881e-05	6.59382e-05	2133.53
9	6.59382e-05	7.9961e-05	2192.42
10	7.9961e-05	9.61453e-05	2590.4
11	9.61453e-05	0.000114824	3318.98
12	0.000114824	0.000136382	4258.44
13	0.000136382	0.000161263	5154.57
14	0.000161263	0.000189978	5691.47
15	0.000189978	0.00022312	5634.83
16	0.00022312	0.00026137	5014.06
17	0.00026137	0.000305515	4175.34
18	0.000305515	0.000356465	3477.14
19	0.000356465	0.000415269	3025.85
20	0.000415269	0.000483135	2746.98
21	0.000483135	0.000561463	2523.77
22	0.000561463	0.000651863	2259.98
23	0.000651863	0.000756197	1911.57
24	0.000756197	0.000876613	1514.93
25	0.000876613	0.00101559	1157.5
26	0.00101559	0.00117599	897.086
27	0.00117599	0.00136111	731.075
28	0.00136111	0.00157476	627.913
29	0.00157476	0.00182134	518.407
30	0.00182134	0.00210593	518.407
31	0.00210593	0.00243439	518.407
32	0.00243439	0.00281347	632.155
33	0.00281347	0.00325099	632.155
34	0.00325099	inf	632.155
