time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.01255e-06	439.031
1	9.01255e-06	1.9555e-05	439.031
2	1.9555e-05	3.1887e-05	5470.42
3	3.1887e-05	4.63123e-05	1575.44
4	4.63123e-05	6.31864e-05	1443.25
5	6.31864e-05	8.29248e-05	1809.29
6	8.29248e-05	0.000106014	2137.66
7	0.000106014	0.000133022	2125.91
8	0.000133022	0.000164615	1974.5
9	0.000164615	0.000201571	1925.58
10	0.000201571	0.000244801	2026.03
11	0.000244801	0.000295368	2184.84
12	0.000295368	0.000354519	2269.57
13	0.000354519	0.000423711	2204.54
14	0.000423711	0.000504649	2021.3
15	0.000504649	0.000599326	1800.92
16	0.000599326	0.000710074	1596.81
17	0.000710074	0.000839621	1416.15
18	0.000839621	0.000991159	1246.72
19	0.000991159	0.00116842	1084.45
20	0.00116842	0.00137577	937.791
21	0.00137577	0.00161832	818.786
22	0.00161832	0.00190205	734.63
23	0.00190205	0.00223393	686.507
24	0.00223393	0.00262215	676.906
25	0.00262215	0.00307628	714.454
26	0.00307628	0.00360749	815.309
27	0.00360749	0.00422887	1224.19
28	0.00422887	0.00495573	1224.19
29	0.00495573	0.00580598	261.83
30	0.00580598	0.00680056	261.83
31	0.00680056	inf	261.83
