time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.18348e-06	401.969
1	8.18348e-06	1.76283e-05	401.969
2	1.76283e-05	2.85289e-05	3807.93
3	2.85289e-05	4.11097e-05	3807.93
4	4.11097e-05	5.56296e-05	1201.5
5	5.56296e-05	7.23876e-05	1453.93
6	7.23876e-05	9.17285e-05	1917.24
7	9.17285e-05	0.000114051	2157.65
8	0.000114051	0.000139813	2097.32
9	0.000139813	0.000169547	1966.63
10	0.000169547	0.000203863	1938.48
11	0.000203863	0.000243469	2033.26
12	0.000243469	0.00028918	2176.72
13	0.00028918	0.000341936	2265.08
14	0.000341936	0.000402823	2231.32
15	0.000402823	0.000473096	2086.24
16	0.000473096	0.0005542	1889.89
17	0.0005542	0.000647805	1695.17
18	0.000647805	0.000755837	1521.24
19	0.000755837	0.000880521	1362.43
20	0.000880521	0.00102442	1209.72
21	0.00102442	0.00119051	1063.29
22	0.00119051	0.00138219	931.176
23	0.00138219	0.00160341	822.539
24	0.00160341	0.00185874	742.558
25	0.00185874	0.00215342	691.88
26	0.00215342	0.00249352	671.394
27	0.00249352	0.00288604	685.906
28	0.00288604	0.00333906	743.984
29	0.00333906	0.00386191	1085.75
30	0.00386191	0.00446535	1085.75
31	0.00446535	0.0051618	1085.75
32	0.0051618	0.0059656	268.171
33	0.0059656	0.00689328	268.171
34	0.00689328	inf	268.171
