time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.59444e-05	189.638
1	1.59444e-05	3.45955e-05	189.638
2	3.45955e-05	5.64125e-05	578.482
3	5.64125e-05	8.19329e-05	572.328
4	8.19329e-05	0.000111786	469.848
5	0.000111786	0.000146706	589.818
6	0.000146706	0.000187553	781.172
7	0.000187553	0.000235335	875.864
8	0.000235335	0.000291227	896.547
9	0.000291227	0.000356608	885.18
10	0.000356608	0.000433086	883.22
11	0.000433086	0.000522547	915.082
12	0.000522547	0.000627194	989.419
13	0.000627194	0.000749604	1102.16
14	0.000749604	0.000892794	1228.36
15	0.000892794	0.00106029	1318.27
16	0.00106029	0.00125622	1320.68
17	0.00125622	0.00148541	1233.2
18	0.00148541	0.0017535	1101.2
19	0.0017535	0.0020671	970.439
20	0.0020671	0.00243393	869.282
21	0.00243393	0.00286304	810.655
22	0.00286304	0.00336498	799.038
23	0.00336498	0.00395213	842.83
24	0.00395213	0.00463895	954.723
25	0.00463895	0.00544236	1165.81
26	0.00544236	0.00638214	1505.02
27	0.00638214	0.00748145	301.576
28	0.00748145	0.00876738	301.576
29	0.00876738	0.0102716	1.06463
30	0.0102716	0.0120311	1.06463
31	0.0120311	inf	1.06463
