time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.46891e-05	145.994
1	1.46891e-05	3.16422e-05	145.994
2	3.16422e-05	5.12085e-05	469.105
3	5.12085e-05	7.37905e-05	469.105
4	7.37905e-05	9.98533e-05	332.564
5	9.98533e-05	0.000129933	507.676
6	0.000129933	0.000164649	798.446
7	0.000164649	0.000204717	895.441
8	0.000204717	0.00025096	849.808
9	0.00025096	0.00030433	813.836
10	0.00030433	0.000365927	814.54
11	0.000365927	0.000437018	848.346
12	0.000437018	0.000519067	911.077
13	0.000519067	0.000613763	1000.95
14	0.000613763	0.000723054	1111.24
15	0.000723054	0.00084919	1224.11
16	0.00084919	0.000994769	1308.9
17	0.000994769	0.00116279	1330.08
18	0.00116279	0.0013567	1270.96
19	0.0013567	0.00158051	1151.94
20	0.00158051	0.00183881	1016.53
21	0.00183881	0.00213692	902.767
22	0.00213692	0.00248098	829.376
23	0.00248098	0.00287807	797.786
24	0.00287807	0.00333637	800.563
25	0.00333637	0.00386531	829.705
26	0.00386531	0.00447578	874.49
27	0.00447578	0.00518034	922.075
28	0.00518034	0.0059935	968.936
29	0.0059935	0.006932	1043.11
30	0.006932	0.00801515	1043.11
31	0.00801515	0.00926525	1043.11
32	0.00926525	0.010708	1182.42
33	0.010708	0.0123732	1182.42
34	0.0123732	inf	1182.42
