time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.45256e-05	170.164
1	1.45256e-05	3.129e-05	170.164
2	3.129e-05	5.06385e-05	502.715
3	5.06385e-05	7.29692e-05	502.715
4	7.29692e-05	9.87418e-05	428.488
5	9.87418e-05	0.000128487	497.944
6	0.000128487	0.000162817	695.514
7	0.000162817	0.000202438	847.805
8	0.000202438	0.000248166	882.086
9	0.000248166	0.000300943	871.633
10	0.000300943	0.000361854	860.513
11	0.000361854	0.000432154	868.235
12	0.000432154	0.000513289	906.548
13	0.000513289	0.000606931	982.035
14	0.000606931	0.000715005	1091.27
15	0.000715005	0.000839738	1215.14
16	0.000839738	0.000983696	1316.33
17	0.000983696	0.00114984	1349.89
18	0.00114984	0.0013416	1294.91
19	0.0013416	0.00156291	1177.06
20	0.00156291	0.00181834	1043.98
21	0.00181834	0.00211313	929.415
22	0.00211313	0.00245336	848.008
23	0.00245336	0.00284604	803.535
24	0.00284604	0.00329924	792.533
25	0.00329924	0.00382229	806.609
26	0.00382229	0.00442596	834.681
27	0.00442596	0.00512268	870.102
28	0.00512268	0.00592679	913.082
29	0.00592679	0.00685484	1005.25
30	0.00685484	0.00792593	1005.25
31	0.00792593	0.00916212	1005.25
32	0.00916212	0.0105888	1293.86
33	0.0105888	0.0122355	1293.86
34	0.0122355	inf	1293.86
