time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.78911e-06	6722.76
1	5.78911e-06	1.24705e-05	6722.76
2	1.24705e-05	2.01818e-05	13387
3	2.01818e-05	2.90816e-05	13387
4	2.90816e-05	3.93532e-05	1701.81
5	3.93532e-05	5.1208e-05	1280.37
6	5.1208e-05	6.489e-05	1742.95
7	6.489e-05	8.0681e-05	2829.69
8	8.0681e-05	9.89058e-05	4347.28
9	9.89058e-05	0.00011994	5754.32
10	0.00011994	0.000144216	6147.96
11	0.000144216	0.000172233	5058.77
12	0.000172233	0.00020457	3389.83
13	0.00020457	0.00024189	2141.68
14	0.00024189	0.000284963	1453.83
15	0.000284963	0.000334675	1125.3
16	0.000334675	0.000392049	989.791
17	0.000392049	0.000458266	954.483
18	0.000458266	0.00053469	968.914
19	0.00053469	0.000622893	1002.15
20	0.000622893	0.000724692	1032.59
21	0.000724692	0.000842181	1043.72
22	0.000842181	0.00097778	1022.51
23	0.00097778	0.00113428	963.778
24	0.00113428	0.0013149	876.256
25	0.0013149	0.00152336	779.528
26	0.00152336	0.00176395	696.502
27	0.00176395	0.00204163	649.637
28	0.00204163	0.0023621	665.819
29	0.0023621	0.00273197	1560.04
30	0.00273197	0.00315885	1560.04
31	0.00315885	0.00365153	1560.04
32	0.00365153	0.00422015	73.6252
33	0.00422015	0.00487641	73.6252
34	0.00487641	inf	73.6252
