time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.28221e-06	4496.15
1	6.28221e-06	1.36308e-05	4496.15
2	1.36308e-05	2.22269e-05	20574.7
3	2.22269e-05	3.22821e-05	5199.66
4	3.22821e-05	4.40442e-05	1918.03
5	4.40442e-05	5.78029e-05	1807.43
6	5.78029e-05	7.38971e-05	2613.97
7	7.38971e-05	9.27234e-05	3984.48
8	9.27234e-05	0.000114745	5422.56
9	0.000114745	0.000140506	5974.73
10	0.000140506	0.000170639	5066.97
11	0.000170639	0.000205887	3451.03
12	0.000205887	0.000247118	2165.66
13	0.000247118	0.000295349	1440.01
14	0.000295349	0.000351766	1087.77
15	0.000351766	0.000417761	940.405
16	0.000417761	0.000494958	905.821
17	0.000494958	0.000585259	929.667
18	0.000585259	0.000690889	974.915
19	0.000690889	0.00081445	1022.35
20	0.00081445	0.000958985	1061.33
21	0.000958985	0.00112805	1073.89
22	0.00112805	0.00132582	1037.31
23	0.00132582	0.00155716	950.552
24	0.00155716	0.00182778	847.786
25	0.00182778	0.00214432	768.58
26	0.00214432	0.0025146	730.115
27	0.0025146	0.00294774	760.271
28	0.00294774	0.0034544	760.271
29	0.0034544	0.00404707	307.274
30	0.00404707	0.00474034	307.274
31	0.00474034	inf	307.274
