time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.13211e-05	995.688
1	1.13211e-05	2.43871e-05	995.688
2	2.43871e-05	3.94671e-05	2493.25
3	3.94671e-05	5.68714e-05	2493.25
4	5.68714e-05	7.69583e-05	2265.67
5	7.69583e-05	0.000100141	2163.34
6	0.000100141	0.000126898	2254.21
7	0.000126898	0.000157778	2145.38
8	0.000157778	0.000193418	1810.96
9	0.000193418	0.000234552	1436.3
10	0.000234552	0.000282025	1147.49
11	0.000282025	0.000336816	968.327
12	0.000336816	0.000400053	882.282
13	0.000400053	0.000473036	862.12
14	0.000473036	0.000557268	881.766
15	0.000557268	0.000654483	921.382
16	0.000654483	0.000766683	969.894
17	0.000766683	0.000896176	1025.57
18	0.000896176	0.00104563	1088.18
19	0.00104563	0.00121812	1146.23
20	0.00121812	0.00141719	1171.03
21	0.00141719	0.00164695	1130.24
22	0.00164695	0.00191213	1021.05
23	0.00191213	0.00221817	884.795
24	0.00221817	0.00257139	770.838
25	0.00257139	0.00297905	698.14
26	0.00297905	0.00344955	663.982
27	0.00344955	0.00399256	667.031
28	0.00399256	0.00461928	705.591
29	0.00461928	0.00534259	773.226
30	0.00534259	0.00617739	773.226
31	0.00617739	0.00714086	773.226
32	0.00714086	0.00825284	1052.93
33	0.00825284	0.00953621	1052.93
34	0.00953621	inf	1052.93
