time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.18771e-05	1053.9
1	1.18771e-05	2.57704e-05	1053.9
2	2.57704e-05	4.2022e-05	3791.54
3	4.2022e-05	6.10323e-05	2016.43
4	6.10323e-05	8.32697e-05	2166.9
5	8.32697e-05	0.000109282	2208.06
6	0.000109282	0.00013971	2348.56
7	0.00013971	0.000175302	2246.89
8	0.000175302	0.000216937	1760.29
9	0.000216937	0.000265639	1323.61
10	0.000265639	0.000322608	1060.22
11	0.000322608	0.000389248	918.579
12	0.000389248	0.0004672	871.231
13	0.0004672	0.000558385	891.923
14	0.000558385	0.000665048	949.568
15	0.000665048	0.000789816	1021.2
16	0.000789816	0.000935765	1094.96
17	0.000935765	0.00110649	1160.08
18	0.00110649	0.00130619	1197.03
19	0.00130619	0.00153979	1170.08
20	0.00153979	0.00181305	1052.53
21	0.00181305	0.00213269	878.643
22	0.00213269	0.0025066	721.844
23	0.0025066	0.00294397	619.441
24	0.00294397	0.00345558	566.352
25	0.00345558	0.00405404	562.248
26	0.00405404	0.0047541	645.751
27	0.0047541	0.00557298	1923.03
28	0.00557298	0.00653087	1923.03
29	0.00653087	0.00765136	10.2358
30	0.00765136	0.00896206	10.2358
31	0.00896206	inf	10.2358
