time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.22385e-05	997.159
1	1.22385e-05	2.65544e-05	997.159
2	2.65544e-05	4.33005e-05	3297.57
3	4.33005e-05	6.28893e-05	2118.93
4	6.28893e-05	8.58032e-05	2001.68
5	8.58032e-05	0.000112607	2202.14
6	0.000112607	0.00014396	2340.11
7	0.00014396	0.000180636	2078.35
8	0.000180636	0.000223537	1604.54
9	0.000223537	0.000273721	1215.22
10	0.000273721	0.000332424	975.919
11	0.000332424	0.000401091	863.572
12	0.000401091	0.000481415	843.243
13	0.000481415	0.000575374	878.719
14	0.000575374	0.000685282	942.181
15	0.000685282	0.000813847	1016.64
16	0.000813847	0.000964236	1090.07
17	0.000964236	0.00114015	1148.16
18	0.00114015	0.00134593	1169.86
19	0.00134593	0.00158664	1128.51
20	0.00158664	0.00186821	1015.09
21	0.00186821	0.00219758	867.09
22	0.00219758	0.00258286	742.208
23	0.00258286	0.00303354	668.763
24	0.00303354	0.00356072	643.104
25	0.00356072	0.00417739	646.797
26	0.00417739	0.00489874	664.322
27	0.00489874	0.00574254	730.776
28	0.00574254	0.00672957	730.776
29	0.00672957	0.00788416	463.504
30	0.00788416	0.00923473	463.504
31	0.00923473	inf	463.504
