time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.75629e-05	646.495
1	1.75629e-05	3.81071e-05	646.495
2	3.81071e-05	6.21387e-05	1608.64
3	6.21387e-05	9.02497e-05	917.564
4	9.02497e-05	0.000123132	625.503
5	0.000123132	0.000161597	650.972
6	0.000161597	0.000206591	958.933
7	0.000206591	0.000259223	1003.41
8	0.000259223	0.000320789	898.196
9	0.000320789	0.000392806	836.549
10	0.000392806	0.000477047	846.061
11	0.000477047	0.000575589	883.522
12	0.000575589	0.000690858	925.41
13	0.000690858	0.000825694	966.478
14	0.000825694	0.000983418	986.826
15	0.000983418	0.00116792	964.256
16	0.00116792	0.00138373	895.417
17	0.00138373	0.00163618	798.245
18	0.00163618	0.00193149	716.022
19	0.00193149	0.00227692	679.191
20	0.00227692	0.00268099	690.055
21	0.00268099	0.00315365	750.967
22	0.00315365	0.00370655	878.233
23	0.00370655	0.0043533	1078.5
24	0.0043533	0.00510984	1347.48
25	0.00510984	0.00599479	1635.78
26	0.00599479	0.00702997	1271.73
27	0.00702997	0.00824087	383.702
28	0.00824087	0.00965732	383.702
29	0.00965732	0.0113142	925.13
30	0.0113142	0.0132524	925.13
31	0.0132524	inf	925.13
