time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.64525e-05	555.524
1	1.64525e-05	3.5441e-05	555.524
2	3.5441e-05	5.73562e-05	1293.41
3	5.73562e-05	8.26493e-05	1293.41
4	8.26493e-05	0.000111841	592.103
5	0.000111841	0.000145532	582.986
6	0.000145532	0.000184416	725.49
7	0.000184416	0.000229294	867.2
8	0.000229294	0.000281088	914.848
9	0.000281088	0.000340866	902.306
10	0.000340866	0.000409858	877.738
11	0.000409858	0.000489484	855.908
12	0.000489484	0.000581383	848.052
13	0.000581383	0.000687447	870.041
14	0.000687447	0.000809859	911.562
15	0.000809859	0.000951138	940.881
16	0.000951138	0.00111419	931.116
17	0.00111419	0.00130238	877.988
18	0.00130238	0.00151958	797.643
19	0.00151958	0.00177025	721.128
20	0.00177025	0.00205956	677.539
21	0.00205956	0.00239346	676.222
22	0.00239346	0.00277883	713.488
23	0.00277883	0.0032236	785.978
24	0.0032236	0.00373692	895.099
25	0.00373692	0.00432936	1045.25
26	0.00432936	0.00501311	1236.32
27	0.00501311	0.00580226	1414.31
28	0.00580226	0.00671304	1387.75
29	0.00671304	0.00776421	685.535
30	0.00776421	0.00897739	685.535
31	0.00897739	0.0103776	685.535
32	0.0103776	0.0119936	510.776
33	0.0119936	0.0138586	510.776
34	0.0138586	inf	510.776
