time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.75194e-05	531.025
1	1.75194e-05	3.80127e-05	531.025
2	3.80127e-05	6.19847e-05	1766.11
3	6.19847e-05	9.0026e-05	907.616
4	9.0026e-05	0.000122827	690.686
5	0.000122827	0.000161197	715.793
6	0.000161197	0.000206079	870.432
7	0.000206079	0.000258581	967.047
8	0.000258581	0.000319994	952.314
9	0.000319994	0.000391832	894.24
10	0.000391832	0.000475865	865.096
11	0.000475865	0.000574163	865.126
12	0.000574163	0.000689146	895.389
13	0.000689146	0.000823648	939.06
14	0.000823648	0.000980982	959.445
15	0.000980982	0.00116502	935.719
16	0.00116502	0.0013803	868.4
17	0.0013803	0.00163213	780.026
18	0.00163213	0.0019267	712.676
19	0.0019267	0.00227128	691.391
20	0.00227128	0.00267435	715.851
21	0.00267435	0.00314584	786.014
22	0.00314584	0.00369737	905.778
23	0.00369737	0.00434251	1071.64
24	0.00434251	0.00509717	1259.81
25	0.00509717	0.00597994	1337.84
26	0.00597994	0.00701255	1163.24
27	0.00701255	0.00822045	1675.24
28	0.00822045	0.00963339	1675.24
29	0.00963339	0.0112862	0.968926
30	0.0112862	0.0132195	0.968926
31	0.0132195	inf	0.968926
