time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.35712e-06	1807.7
1	4.35712e-06	9.45386e-06	1807.7
2	9.45386e-06	1.54158e-05	34865.9
3	1.54158e-05	2.23897e-05	15341.5
4	2.23897e-05	3.05475e-05	7936.41
5	3.05475e-05	4.00901e-05	4957.32
6	4.00901e-05	5.12525e-05	3651.13
7	5.12525e-05	6.43097e-05	3146.24
8	6.43097e-05	7.95834e-05	3064.93
9	7.95834e-05	9.74498e-05	3210.01
10	9.74498e-05	0.000118349	3429.01
11	0.000118349	0.000142796	3577.1
12	0.000142796	0.000171393	3541.16
13	0.000171393	0.000204844	3265.73
14	0.000204844	0.000243973	2788.39
15	0.000243973	0.000289744	2237.81
16	0.000289744	0.000343286	1750.91
17	0.000343286	0.000405915	1396.33
18	0.000405915	0.000479177	1174.12
19	0.000479177	0.000564874	1054.75
20	0.000564874	0.000665118	1005.74
21	0.000665118	0.000782379	997.862
22	0.000782379	0.000919545	1002.36
23	0.000919545	0.00107999	989.241
24	0.00107999	0.00126768	934.064
25	0.00126768	0.00148723	830.749
26	0.00148723	0.00174404	692.341
27	0.00174404	0.00204445	477.057
28	0.00204445	0.00239585	477.057
29	0.00239585	0.0028069	428.834
30	0.0028069	0.00328773	428.834
31	0.00328773	inf	428.834
