time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.84313e-06	1607.09
1	3.84313e-06	8.27862e-06	1607.09
2	8.27862e-06	1.33978e-05	26825
3	1.33978e-05	1.9306e-05	26825
4	1.9306e-05	2.61248e-05	10206.3
5	2.61248e-05	3.39947e-05	6141.71
6	3.39947e-05	4.30776e-05	4310.57
7	4.30776e-05	5.35604e-05	3416.55
8	5.35604e-05	6.56591e-05	3047.74
9	6.56591e-05	7.96225e-05	3019.2
10	7.96225e-05	9.57383e-05	3206.43
11	9.57383e-05	0.000114338	3483.77
12	0.000114338	0.000135805	3715.8
13	0.000135805	0.00016058	3788.41
14	0.00016058	0.000189174	3633.93
15	0.000189174	0.000222175	3245.57
16	0.000222175	0.000260263	2693.06
17	0.000260263	0.000304222	2101.95
18	0.000304222	0.000354956	1585.99
19	0.000354956	0.000413511	1197.29
20	0.000413511	0.00048109	933.295
21	0.00048109	0.000559086	768.271
22	0.000559086	0.000649103	675.772
23	0.000649103	0.000752996	636.564
24	0.000752996	0.000872902	639.037
25	0.000872902	0.00101129	677.077
26	0.00101129	0.00117101	748.226
27	0.00117101	0.00135534	853.523
28	0.00135534	0.00156809	1001.75
29	0.00156809	0.00181363	2400.18
30	0.00181363	0.00209702	2400.18
31	0.00209702	0.00242409	2400.18
32	0.00242409	0.00280156	39.1712
33	0.00280156	0.00323722	39.1712
34	0.00323722	inf	39.1712
