time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.89145e-06	2545.62
1	3.89145e-06	8.38271e-06	2545.62
2	8.38271e-06	1.35662e-05	26883.5
3	1.35662e-05	1.95487e-05	26883.5
4	1.95487e-05	2.64533e-05	9617.32
5	2.64533e-05	3.44221e-05	5789.45
6	3.44221e-05	4.36192e-05	4132.46
7	4.36192e-05	5.42339e-05	3396.94
8	5.42339e-05	6.64846e-05	3142.61
9	6.64846e-05	8.06237e-05	3170.57
10	8.06237e-05	9.6942e-05	3355.02
11	9.6942e-05	0.000115776	3573.36
12	0.000115776	0.000137512	3700.99
13	0.000137512	0.000162599	3649.12
14	0.000162599	0.000191552	3390.21
15	0.000191552	0.000224969	2958.81
16	0.000224969	0.000263536	2439.73
17	0.000263536	0.000308047	1933.71
18	0.000308047	0.000359419	1513.15
19	0.000359419	0.00041871	1204.12
20	0.00041871	0.000487139	999.064
21	0.000487139	0.000566115	877.707
22	0.000566115	0.000657265	820.227
23	0.000657265	0.000762464	811.336
24	0.000762464	0.000883877	839.485
25	0.000883877	0.001024	894.888
26	0.001024	0.00118573	968.112
27	0.00118573	0.00137238	1050.15
28	0.00137238	0.00158781	1132.75
29	0.00158781	0.00183644	1361.57
30	0.00183644	0.00212339	1361.57
31	0.00212339	0.00245456	1361.57
32	0.00245456	0.00283679	112.612
33	0.00283679	0.00327793	112.612
34	0.00327793	inf	112.612
