time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.16133e-05	927.625
1	1.16133e-05	2.51979e-05	927.625
2	2.51979e-05	4.10885e-05	3770.92
3	4.10885e-05	5.96766e-05	2109.74
4	5.96766e-05	8.142e-05	2597.71
5	8.142e-05	0.000106854	2652.78
6	0.000106854	0.000136606	2133.06
7	0.000136606	0.000171408	1555.7
8	0.000171408	0.000212118	1182.96
9	0.000212118	0.000259738	1001.91
10	0.000259738	0.000315442	940.943
11	0.000315442	0.000380602	939.441
12	0.000380602	0.000456822	960.098
13	0.000456822	0.000545981	990.176
14	0.000545981	0.000650275	1029.65
15	0.000650275	0.000772272	1078.75
16	0.000772272	0.000914978	1132.3
17	0.000914978	0.00108191	1176.77
18	0.00108191	0.00127718	1191.67
19	0.00127718	0.00150559	1159.45
20	0.00150559	0.00177278	1076.89
21	0.00177278	0.00208532	958.789
22	0.00208532	0.00245092	827.853
23	0.00245092	0.00287857	700.285
24	0.00287857	0.00337882	584.384
25	0.00337882	0.00396399	488.88
26	0.00396399	0.00464849	423.47
27	0.00464849	0.00544918	397.789
28	0.00544918	0.0063858	397.789
29	0.0063858	0.0074814	298.929
30	0.0074814	0.00876298	298.929
31	0.00876298	inf	298.929
