time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.05145e-05	933.587
1	1.05145e-05	2.26497e-05	933.587
2	2.26497e-05	3.66553e-05	2835.71
3	3.66553e-05	5.28196e-05	2835.71
4	5.28196e-05	7.14755e-05	2493.3
5	7.14755e-05	9.30068e-05	2749.51
6	9.30068e-05	0.000117857	2439.86
7	0.000117857	0.000146537	1917.93
8	0.000146537	0.000179638	1465.9
9	0.000179638	0.000217841	1167.21
10	0.000217841	0.000261933	1004.44
11	0.000261933	0.00031282	935.932
12	0.00031282	0.000371551	923.57
13	0.000371551	0.000439334	940.652
14	0.000439334	0.000517565	973.049
15	0.000517565	0.000607855	1014.98
16	0.000607855	0.000712061	1063.31
17	0.000712061	0.000832328	1114.94
18	0.000832328	0.000971133	1164.17
19	0.000971133	0.00113133	1199.87
20	0.00113133	0.00131623	1205.69
21	0.00131623	0.00152962	1166.99
22	0.00152962	0.0017759	1082.06
23	0.0017759	0.00206014	964.973
24	0.00206014	0.00238819	833.62
25	0.00238819	0.00276681	700.459
26	0.00276681	0.00320379	576.289
27	0.00320379	0.00370811	473.048
28	0.00370811	0.00429018	399.275
29	0.00429018	0.00496196	356.076
30	0.00496196	0.00573728	356.076
31	0.00573728	0.00663211	356.076
32	0.00663211	0.00766486	664.606
33	0.00766486	0.0088568	664.606
34	0.0088568	inf	664.606
