time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.16884e-05	905.822
1	1.16884e-05	2.53609e-05	905.822
2	2.53609e-05	4.13543e-05	3728.78
3	4.13543e-05	6.00626e-05	2095.26
4	6.00626e-05	8.19467e-05	2585.08
5	8.19467e-05	0.000107546	2608.97
6	0.000107546	0.00013749	2093.77
7	0.00013749	0.000172517	1565.27
8	0.000172517	0.00021349	1219.59
9	0.00021349	0.000261419	1031.36
10	0.000261419	0.000317483	947.275
11	0.000317483	0.000383064	926.211
12	0.000383064	0.000459777	941.252
13	0.000459777	0.000549513	978.811
14	0.000549513	0.000654481	1032.87
15	0.000654481	0.000777268	1098.57
16	0.000777268	0.000920897	1166.67
17	0.000920897	0.00108891	1217.92
18	0.00108891	0.00128544	1224.12
19	0.00128544	0.00151533	1160.1
20	0.00151533	0.00178425	1020.69
21	0.00178425	0.00209881	831.529
22	0.00209881	0.00246677	639.326
23	0.00246677	0.00289719	484.691
24	0.00289719	0.00340068	387.003
25	0.00340068	0.00398963	352.918
26	0.00398963	0.00467856	398.913
27	0.00467856	0.00548443	1924.35
28	0.00548443	0.00642711	1924.35
29	0.00642711	0.00752979	2.39887
30	0.00752979	0.00881967	2.39887
31	0.00881967	inf	2.39887
