time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.06132e-05	884.624
1	1.06132e-05	2.28622e-05	884.624
2	2.28622e-05	3.69993e-05	2924.03
3	3.69993e-05	5.33154e-05	2924.03
4	5.33154e-05	7.21463e-05	2312.16
5	7.21463e-05	9.38797e-05	2638.45
6	9.38797e-05	0.000118963	2389.12
7	0.000118963	0.000147913	1884.53
8	0.000147913	0.000181324	1455.62
9	0.000181324	0.000219886	1178.03
10	0.000219886	0.000264391	1021.94
11	0.000264391	0.000315756	948.77
12	0.000315756	0.000375038	928.055
13	0.000375038	0.000443458	938.84
14	0.000443458	0.000522423	969.691
15	0.000522423	0.00061356	1015.2
16	0.00061356	0.000718744	1071.71
17	0.000718744	0.00084014	1133.9
18	0.00084014	0.000980248	1190.94
19	0.000980248	0.00114195	1224.44
20	0.00114195	0.00132858	1212.33
21	0.00132858	0.00154397	1138.19
22	0.00154397	0.00179257	1002.2
23	0.00179257	0.00207947	827.098
24	0.00207947	0.00241061	649.975
25	0.00241061	0.00279278	503.209
26	0.00279278	0.00323386	403.459
27	0.00323386	0.00374292	356.088
28	0.00374292	0.00433044	368.613
29	0.00433044	0.00500853	1469.32
30	0.00500853	0.00579113	1469.32
31	0.00579113	0.00669436	1469.32
32	0.00669436	0.0077368	2.34821
33	0.0077368	0.00893993	2.34821
34	0.00893993	inf	2.34821
